
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-09-22 19:56:16 ................................................... ~ 0s
  2025-09-22 19:56:16 ................................................... ~ 0s
  2025-09-22 19:56:16 ................................................... ~ 0s
  2025-09-22 20:21:04 ................................................... ~ 0s
  2025-09-22 20:21:07 ................................................... ~ 0s
  2025-09-22 20:21:10 ................................................... ~ 0s
  2025-09-22 20:21:11 ................................................... ~ 0s
  2025-09-22 20:21:14 ................................................... ~ 0s
  2025-09-22 20:21:18 ................................................... ~ 0s
  2025-09-22 20:21:23 ................................................... ~ 1s
  2025-09-22 20:21:30 ................................................... ~ 0s
  2025-09-22 20:21:35 ................................................... ~ 0s
  2025-09-22 20:21:44 ................................................... ~ 0s
  2025-09-22 20:21:46 ................................................... ~ 0s
